Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2023,Castilla y León,España,3568,45893,4336.268250572124,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2023,Castilla y León,España,3568,45696,4323.517550454584,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2022,Castilla y León,España,4128,44226,4229.548967181925,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2022,Castilla y León,España,4128,45893,4336.268250572124,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2022,Castilla y León,España,4128,45696,4323.517550454584,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2021,Castilla y León,España,6720,44226,4229.548967181925,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2021,Castilla y León,España,6720,45893,4336.268250572124,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2021,Castilla y León,España,6720,45696,4323.517550454584,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
2023,Comunidade Valenciana,España,2435,4791,2345.761986213702,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2023,Comunidade Valenciana,España,2435,6545,2408.079537485325,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2023,Comunidade Valenciana,España,2435,5215,2360.6767983193463,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2022,Comunidade Valenciana,España,2496,4791,2345.761986213702,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2022,Comunidade Valenciana,España,2496,6545,2408.079537485325,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2022,Comunidade Valenciana,España,2496,5215,2360.6767983193463,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2021,Comunidade Valenciana,España,4920,4791,2345.761986213702,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2021,Comunidade Valenciana,España,4920,6545,2408.079537485325,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2021,Comunidade Valenciana,España,4920,5215,2360.6767983193463,41.843835616438355,5058138.0,1010.4591449037832,1010.4591449037832,131.35968883749183,13.947945205479451,145.30763404297127
2023,País Vasco,España,2513,10191,2542.965586728584,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2023,País Vasco,España,2513,10395,2550.732061985276,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2023,País Vasco,España,2513,10269,2545.932325187722,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2022,País Vasco,España,2592,10191,2542.965586728584,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2022,País Vasco,España,2592,10395,2550.732061985276,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2022,País Vasco,España,2592,10269,2545.932325187722,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2021,País Vasco,España,4560,10191,2542.965586728584,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2021,País Vasco,España,4560,10395,2550.732061985276,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2021,País Vasco,España,4560,10269,2545.932325187722,57.846575342465755,2213993.0,694.3049126141343,694.3049126141343,90.25963863983746,19.28219178082192,109.54183042065938
2023,Castilla - La Mancha,España,2855,7024,2425.383798450337,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2023,Castilla - La Mancha,España,2855,8415,2476.3428742888123,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2023,Castilla - La Mancha,España,2855,8071,2463.6416949733566,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2022,Castilla - La Mancha,España,3456,7024,2425.383798450337,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2022,Castilla - La Mancha,España,3456,8415,2476.3428742888123,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2022,Castilla - La Mancha,España,3456,8071,2463.6416949733566,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2021,Castilla - La Mancha,España,4080,7024,2425.383798450337,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2021,Castilla - La Mancha,España,4080,8415,2476.3428742888123,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2021,Castilla - La Mancha,España,4080,8071,2463.6416949733566,38.50410958904109,2049562.0,757.8894632318743,757.8894632318743,98.52563022014365,12.83470319634703,111.36033341649069
2023,Asturias,España,2096,33907,3624.963252042138,46.03013698630137,1011792.0,343.06178331910473,343.06178331910473,44.59803183148362,15.34337899543379,59.941410826917405
2023,Asturias,España,2096,31696,3507.114162974952,46.03013698630137,1011792.0,343.06178331910473,343.06178331910473,44.59803183148362,15.34337899543379,59.941410826917405
2023,Asturias,España,2096,30382,3438.8994583755407,46.03013698630137,1011792.0,343.06178331910473,343.06178331910473,44.59803183148362,15.34337899543379,59.941410826917405
