Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km)
2021,Comunidade Valenciana,España,4920,607,1.124721500132769e+264,15273.0,5058138.0,1010.4591449037804
2021,País Vasco,España,4560,1240,inf,21114.0,2213993.0,694.3049126141344
2021,Castilla - La Mancha,España,4080,634,5.984060953126553e+275,14054.0,2049562.0,757.8894632318738
2021,Asturias,España,3480,3050,inf,16801.0,1011792.0,343.06178331910445
2021,Extremadura,España,2880,219,3.505790975238748e+95,12096.0,1059501.0,543.9204643863698
2021,Aragón,España,2040,316,4.691921780435012e+137,18121.0,1326261.0,911.3157625244618
2021,Cantabria,España,1800,237,2.30190127236108e+103,16364.0,584507.0,544.8521463533334
2021,Illes Balears,España,1680,90,3.317400098335743e+39,15765.0,1173008.0,1362.7565710977192
2021,Murcia,España,1200,156,1.5283881393781746e+68,13994.0,1518486.0,1026.7679997190598
2021,Navarra,España,1080,214,2.3621833781030834e+93,20955.0,661537.0,795.3674944099478
2021,Canarias,España,840,297,2.6287882636624796e+129,13763.0,2172944.0,2064.485011176817
2021,La Rioja,España,480,172,1.358142592474785e+75,17420.0,319796.0,696.620220979163
2021,Madrid,España,18000,7208,inf,16146.0,,1591.4099407179567
2023,Portugal,Europa,2917,2455,inf,9547.053649956024,10269417.0,395.7071480023845
2023,Estados Unidos,Mundo,248,183,8.131762205128143e+79,21395.778364116093,328239523.0,12448.690318344
2023,Reino Unido,Europa,558,484,4.2936211647948715e+210,14869.832893579594,66834405.0,2129.246451490233
2023,Francia,Europa,1059,637,1.2019307722462898e+277,16095.866314863675,67059887.0,884.8318098979938
2023,Alemania,Europa,601,357,3.0020956233632933e+155,17874.23043095866,83132799.0,2582.417369734734
2023,Suiza,Europa,284,84,8.223012714622913e+36,20657.87159190853,8574832.0,2018.8224442087103
2023,Bélgica,Europa,136,65,4.607186634331292e+28,17027.26473175022,11484055.0,2014.503962209924
2023,Países Bajos,Europa,183,293,4.814793655218451e+127,18891.82058047493,17332850.0,2292.117954401639
2022,Portugal,Europa,3360,2145,inf,9547.053649956024,10269417.0,395.7071480023845
2022,Estados Unidos,Mundo,288,87,1.6516362549940018e+38,21395.778364116093,328239523.0,12448.690318344
2022,Reino Unido,Europa,288,228,2.840771850489593e+99,14869.832893579594,66834405.0,2129.246451490233
2022,Francia,Europa,960,646,9.73934592264718e+280,16095.866314863675,67059887.0,884.8318098979938
2022,Alemania,Europa,480,422,5.088219582729782e+183,17874.23043095866,83132799.0,2582.417369734734
2022,Suiza,Europa,192,91,9.017628405034299e+39,20657.87159190853,8574832.0,2018.8224442087103
2022,Bélgica,Europa,192,72,5.052393630276104e+31,17027.26473175022,11484055.0,2014.503962209924
2022,Países Bajos,Europa,192,219,3.505790975238748e+95,18891.82058047493,17332850.0,2292.117954401639
2021,Portugal,Europa,3360,1114,inf,9547.053649956024,10269417.0,395.7071480023845
2021,Estados Unidos,Mundo,2520,534,2.2261161390770435e+232,21395.778364116093,328239523.0,12448.690318344
2021,Reino Unido,Europa,1320,32,214643579785916.06,14869.832893579594,66834405.0,2129.246451490233
2021,Francia,Europa,960,613,4.537450378139021e+266,16095.866314863675,67059887.0,884.8318098979938
2021,Alemania,Europa,600,178,5.47913827473198e+77,17874.23043095866,83132799.0,2582.417369734734
2021,Suiza,Europa,240,41,1.739274941520501e+18,20657.87159190853,8574832.0,2018.8224442087103
2021,Países Bajos,Europa,120,139,6.327431707155585e+60,18891.82058047493,17332850.0,2292.117954401639
