Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2022,España,Illes Balears,97.0,43.19178082191781,1173008.0,1069.316917377114,1069.316917377114,139.0111992590248,14.397260273972602,153.4084595329974
2023,España,Illes Balears,112.0,43.19178082191781,1173008.0,1069.316917377114,1069.316917377114,139.0111992590248,14.397260273972602,153.4084595329974
2019,España,Canarias,432.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2020,España,Canarias,150.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2021,España,Canarias,297.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2022,España,Canarias,520.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2023,España,Canarias,366.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2024,España,Canarias,30.0,37.706849315068496,2172944.0,1729.2226176686395,1729.2226176686395,224.79894029692315,12.568949771689498,237.36789006861264
2019,España,Cantabria,241.0,44.83287671232877,584507.0,415.3947365565865,415.3947365565865,54.00131575235625,14.944292237442923,68.94560798979917
2020,España,Cantabria,222.0,44.83287671232877,584507.0,415.3947365565865,415.3947365565865,54.00131575235625,14.944292237442923,68.94560798979917
2021,España,Cantabria,237.0,44.83287671232877,584507.0,415.3947365565865,415.3947365565865,54.00131575235625,14.944292237442923,68.94560798979917
2022,España,Cantabria,321.0,44.83287671232877,584507.0,415.3947365565865,415.3947365565865,54.00131575235625,14.944292237442923,68.94560798979917
2023,España,Cantabria,241.0,44.83287671232877,584507.0,415.3947365565865,415.3947365565865,54.00131575235625,14.944292237442923,68.94560798979917
2019,España,Castilla - La Mancha,1021.0,38.50410958904109,2049562.0,625.6442854546231,625.6442854546231,81.333757109101,12.83470319634703,94.16846030544804
2020,España,Castilla - La Mancha,384.0,38.50410958904109,2049562.0,625.6442854546231,625.6442854546231,81.333757109101,12.83470319634703,94.16846030544804
2021,España,Castilla - La Mancha,634.0,38.50410958904109,2049562.0,625.6442854546231,625.6442854546231,81.333757109101,12.83470319634703,94.16846030544804
2022,España,Castilla - La Mancha,640.0,38.50410958904109,2049562.0,625.6442854546231,625.6442854546231,81.333757109101,12.83470319634703,94.16846030544804
2023,España,Castilla - La Mancha,662.0,38.50410958904109,2049562.0,625.6442854546231,625.6442854546231,81.333757109101,12.83470319634703,94.16846030544804
2019,España,Castilla y León,4503.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
2020,España,Castilla y León,3269.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
2021,España,Castilla y León,4008.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
2022,España,Castilla y León,4258.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
2023,España,Castilla y León,3801.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
