Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2022,España,Castilla - La Mancha,640.0,14054.0,2049562.0,469.01282850055816
2023,España,Castilla - La Mancha,662.0,14054.0,2049562.0,469.01282850055816
2019,España,Castilla y León,4503.0,16688.0,2383139.0,215.70960061322629
2020,España,Castilla y León,3269.0,16688.0,2383139.0,215.70960061322629
2021,España,Castilla y León,4008.0,16688.0,2383139.0,215.70960061322629
2022,España,Castilla y León,4258.0,16688.0,2383139.0,215.70960061322629
2023,España,Castilla y León,3801.0,16688.0,2383139.0,215.70960061322629
2024,España,Castilla y León,401.0,16688.0,2383139.0,215.70960061322629
2019,España,Cataluña,1114.0,18828.0,7763362.0,731.8937132777562
2020,España,Cataluña,659.0,18828.0,7763362.0,731.8937132777562
2021,España,Cataluña,992.0,18828.0,7763362.0,731.8937132777562
2022,España,Cataluña,1113.0,18828.0,7763362.0,731.8937132777562
2023,España,Cataluña,1104.0,18828.0,7763362.0,731.8937132777562
2024,España,Cataluña,133.0,18828.0,7763362.0,731.8937132777562
2019,España,Comunidade Valenciana,764.0,15273.0,5058138.0,651.5521248324395
2020,España,Comunidade Valenciana,412.0,15273.0,5058138.0,651.5521248324395
2021,España,Comunidade Valenciana,607.0,15273.0,5058138.0,651.5521248324395
2022,España,Comunidade Valenciana,914.0,15273.0,5058138.0,651.5521248324395
2023,España,Comunidade Valenciana,653.0,15273.0,5058138.0,651.5521248324395
2019,España,Extremadura,310.0,12096.0,1059501.0,356.3015058461328
2020,España,Extremadura,93.0,12096.0,1059501.0,356.3015058461328
2021,España,Extremadura,219.0,12096.0,1059501.0,356.3015058461328
2022,España,Extremadura,250.0,12096.0,1059501.0,356.3015058461328
2023,España,Extremadura,232.0,12096.0,1059501.0,356.3015058461328
2019,España,Galicia,23663.0,15409.0,2695645.0,73.7994381987204
2020,España,Galicia,23280.0,15409.0,2695645.0,73.7994381987204
2021,España,Galicia,24112.0,15409.0,2695645.0,73.7994381987204
2022,España,Galicia,23994.0,15409.0,2695645.0,73.7994381987204
2023,España,Galicia,22864.0,15409.0,2695645.0,73.7994381987204
2024,España,Galicia,4057.0,15409.0,2695645.0,73.7994381987204
2019,España,Madrid,8057.0,19206.0,6751251.0,358.5491647204145
2020,España,Madrid,6329.0,19206.0,6751251.0,358.5491647204145
2021,España,Madrid,7208.0,19206.0,6751251.0,358.5491647204145
2022,España,Madrid,8167.0,19206.0,6751251.0,358.5491647204145
2023,España,Madrid,7905.0,19206.0,6751251.0,358.5491647204145
2024,España,Madrid,950.0,19206.0,6751251.0,358.5491647204145
2019,España,Murcia,179.0,13994.0,1518486.0,685.268413421841
2020,España,Murcia,32.0,13994.0,1518486.0,685.268413421841
2021,España,Murcia,156.0,13994.0,1518486.0,685.268413421841
2022,España,Murcia,125.0,13994.0,1518486.0,685.268413421841
2023,España,Murcia,62.0,13994.0,1518486.0,685.268413421841
2019,España,Navarra,245.0,20955.0,661537.0,466.3294145954028
2020,España,Navarra,158.0,20955.0,661537.0,466.3294145954028
2021,España,Navarra,214.0,20955.0,661537.0,466.3294145954028
2022,España,Navarra,207.0,20955.0,661537.0,466.3294145954028
2023,España,Navarra,128.0,20955.0,661537.0,466.3294145954028
2019,España,País Vasco,1385.0,21114.0,2213993.0,392.80990276656416
2020,España,País Vasco,960.0,21114.0,2213993.0,392.80990276656416
2021,España,País Vasco,1240.0,21114.0,2213993.0,392.80990276656416
2022,España,País Vasco,1231.0,21114.0,2213993.0,392.80990276656416
2023,España,País Vasco,1244.0,21114.0,2213993.0,392.80990276656416
2024,España,País Vasco,63.0,21114.0,2213993.0,392.80990276656416
2019,España,La Rioja,137.0,17420.0,319796.0,394.0227444776537
2020,España,La Rioja,80.0,17420.0,319796.0,394.0227444776537
2021,España,La Rioja,172.0,17420.0,319796.0,394.0227444776537
2022,España,La Rioja,103.0,17420.0,319796.0,394.0227444776537
2023,España,La Rioja,84.0,17420.0,319796.0,394.0227444776537
2019,Europa,Alemania,388.0,17874.23043095866,83132799.0,2451.872386043582
2020,Europa,Alemania,100.0,17874.23043095866,83132799.0,2451.872386043582
2021,Europa,Alemania,178.0,17874.23043095866,83132799.0,2451.872386043582
2022,Europa,Alemania,422.0,17874.23043095866,83132799.0,2451.872386043582
2023,Europa,Alemania,357.0,17874.23043095866,83132799.0,2451.872386043582
2019,Europa,Austria,31.0,18972.73526824978,8877067.0,2529.832679728815
2021,Europa,Austria,41.0,18972.73526824978,8877067.0,2529.832679728815
2019,Europa,Bélgica,38.0,17027.26473175022,11484055.0,1900.2248105960198
2020,Europa,Bélgica,33.0,17027.26473175022,11484055.0,1900.2248105960198
2022,Europa,Bélgica,72.0,17027.26473175022,11484055.0,1900.2248105960198
2023,Europa,Bélgica,65.0,17027.26473175022,11484055.0,1900.2248105960198
2019,Mundo,Estados Unidos,175.0,21395.778364116093,328239523.0,12613.339056868066
2021,Mundo,Estados Unidos,534.0,21395.778364116093,328239523.0,12613.339056868066
2022,Mundo,Estados Unidos,87.0,21395.778364116093,328239523.0,12613.339056868066
2023,Mundo,Estados Unidos,183.0,21395.778364116093,328239523.0,12613.339056868066
2019,Europa,Francia,433.0,16095.866314863677,67059887.0,733.0657103226357
2020,Europa,Francia,551.0,16095.866314863677,67059887.0,733.0657103226357
2021,Europa,Francia,613.0,16095.866314863677,67059887.0,733.0657103226357
2022,Europa,Francia,646.0,16095.866314863677,67059887.0,733.0657103226357
2023,Europa,Francia,637.0,16095.866314863677,67059887.0,733.0657103226357
2019,Europa,Irlanda,35.0,15797.713280562884,4941444.0,1821.5420842901553
2019,Europa,Países Bajos,219.0,18891.820580474934,17332850.0,2185.4163910234156
2020,Europa,Países Bajos,206.0,18891.820580474934,17332850.0,2185.4163910234156
2021,Europa,Países Bajos,139.0,18891.820580474934,17332850.0,2185.4163910234156
2022,Europa,Países Bajos,219.0,18891.820580474934,17332850.0,2185.4163910234156
2023,Europa,Países Bajos,293.0,18891.820580474934,17332850.0,2185.4163910234156
2019,Europa,Portugal,1831.0,9547.053649956024,10269417.0,409.3058070431827
2020,Europa,Portugal,553.0,9547.053649956024,10269417.0,409.3058070431827
2021,Europa,Portugal,1114.0,9547.053649956024,10269417.0,409.3058070431827
2022,Europa,Portugal,2145.0,9547.053649956024,10269417.0,409.3058070431827
2023,Europa,Portugal,2455.0,9547.053649956024,10269417.0,409.3058070431827
2019,Europa,Reino Unido,265.0,14869.832893579594,66834405.0,2091.706097384953
2021,Europa,Reino Unido,32.0,14869.832893579594,66834405.0,2091.706097384953
