Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2022,España,Canarias,724.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
2023,España,Canarias,829.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
2024,España,Canarias,99.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
2019,España,Cantabria,100.0,44.83287671232877,584507.0,566.9804464538352,566.9804464538352,73.70745803899857,14.944292237442923,88.65175027644149
2020,España,Cantabria,121.0,44.83287671232877,584507.0,566.9804464538352,566.9804464538352,73.70745803899857,14.944292237442923,88.65175027644149
2021,España,Cantabria,85.0,44.83287671232877,584507.0,566.9804464538352,566.9804464538352,73.70745803899857,14.944292237442923,88.65175027644149
2022,España,Cantabria,110.0,44.83287671232877,584507.0,566.9804464538352,566.9804464538352,73.70745803899857,14.944292237442923,88.65175027644149
2023,España,Cantabria,68.0,44.83287671232877,584507.0,566.9804464538352,566.9804464538352,73.70745803899857,14.944292237442923,88.65175027644149
2019,España,Castilla - La Mancha,162.0,38.50410958904109,2049562.0,830.2915934785254,830.2915934785254,107.93790715220831,12.83470319634703,120.77261034855535
2020,España,Castilla - La Mancha,240.0,38.50410958904109,2049562.0,830.2915934785254,830.2915934785254,107.93790715220831,12.83470319634703,120.77261034855535
2021,España,Castilla - La Mancha,351.0,38.50410958904109,2049562.0,830.2915934785254,830.2915934785254,107.93790715220831,12.83470319634703,120.77261034855535
2022,España,Castilla - La Mancha,335.0,38.50410958904109,2049562.0,830.2915934785254,830.2915934785254,107.93790715220831,12.83470319634703,120.77261034855535
2023,España,Castilla - La Mancha,214.0,38.50410958904109,2049562.0,830.2915934785254,830.2915934785254,107.93790715220831,12.83470319634703,120.77261034855535
2019,España,Castilla y León,629.0,45.72054794520548,2383139.0,506.3281716547561,506.3281716547561,65.8226623151183,15.240182648401827,81.06284496352012
2020,España,Castilla y León,881.0,45.72054794520548,2383139.0,506.3281716547561,506.3281716547561,65.8226623151183,15.240182648401827,81.06284496352012
