Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2020,España,Cataluña,659.0,18828.0,7763362.0,882.9708420303375
2021,España,Cataluña,992.0,18828.0,7763362.0,882.9708420303375
2022,España,Cataluña,1113.0,18828.0,7763362.0,882.9708420303375
2023,España,Cataluña,1104.0,18828.0,7763362.0,882.9708420303375
2024,España,Cataluña,133.0,18828.0,7763362.0,882.9708420303375
2019,España,Comunidade Valenciana,764.0,15273.0,5058138.0,811.9837741100764
2020,España,Comunidade Valenciana,412.0,15273.0,5058138.0,811.9837741100764
2021,España,Comunidade Valenciana,607.0,15273.0,5058138.0,811.9837741100764
2022,España,Comunidade Valenciana,914.0,15273.0,5058138.0,811.9837741100764
2023,España,Comunidade Valenciana,653.0,15273.0,5058138.0,811.9837741100764
2019,España,Extremadura,310.0,12096.0,1059501.0,474.775720526922
2020,España,Extremadura,93.0,12096.0,1059501.0,474.775720526922
2021,España,Extremadura,219.0,12096.0,1059501.0,474.775720526922
2022,España,Extremadura,250.0,12096.0,1059501.0,474.775720526922
2023,España,Extremadura,232.0,12096.0,1059501.0,474.775720526922
2019,España,Galicia,23663.0,15409.0,2695645.0,97.58567567850581
2020,España,Galicia,23280.0,15409.0,2695645.0,97.58567567850581
2021,España,Galicia,24112.0,15409.0,2695645.0,97.58567567850581
2022,España,Galicia,23994.0,15409.0,2695645.0,97.58567567850581
2023,España,Galicia,22864.0,15409.0,2695645.0,97.58567567850581
2024,España,Galicia,4057.0,15409.0,2695645.0,97.58567567850581
2019,España,Madrid,8057.0,19206.0,6751251.0,517.900736035955
2020,España,Madrid,6329.0,19206.0,6751251.0,517.900736035955
2021,España,Madrid,7208.0,19206.0,6751251.0,517.900736035955
2022,España,Madrid,8167.0,19206.0,6751251.0,517.900736035955
2023,España,Madrid,7905.0,19206.0,6751251.0,517.900736035955
2024,España,Madrid,950.0,19206.0,6751251.0,517.900736035955
2019,España,Murcia,179.0,13994.0,1518486.0,839.1480691900457
2020,España,Murcia,32.0,13994.0,1518486.0,839.1480691900457
2021,España,Murcia,156.0,13994.0,1518486.0,839.1480691900457
2022,España,Murcia,125.0,13994.0,1518486.0,839.1480691900457
2023,España,Murcia,62.0,13994.0,1518486.0,839.1480691900457
2019,España,Navarra,245.0,20955.0,661537.0,610.3633852872277
2020,España,Navarra,158.0,20955.0,661537.0,610.3633852872277
2021,España,Navarra,214.0,20955.0,661537.0,610.3633852872277
2022,España,Navarra,207.0,20955.0,661537.0,610.3633852872277
2023,España,Navarra,128.0,20955.0,661537.0,610.3633852872277
2019,España,País Vasco,1385.0,21114.0,2213993.0,529.6819991904077
2020,España,País Vasco,960.0,21114.0,2213993.0,529.6819991904077
2021,España,País Vasco,1240.0,21114.0,2213993.0,529.6819991904077
2022,España,País Vasco,1231.0,21114.0,2213993.0,529.6819991904077
2023,España,País Vasco,1244.0,21114.0,2213993.0,529.6819991904077
2024,España,País Vasco,63.0,21114.0,2213993.0,529.6819991904077
2019,España,La Rioja,137.0,17420.0,319796.0,544.1158031367377
2020,España,La Rioja,80.0,17420.0,319796.0,544.1158031367377
2021,España,La Rioja,172.0,17420.0,319796.0,544.1158031367377
2022,España,La Rioja,103.0,17420.0,319796.0,544.1158031367377
2023,España,La Rioja,84.0,17420.0,319796.0,544.1158031367377
2019,Europa,Alemania,388.0,17874.23043095866,83132799.0,2570.2340955136674
2020,Europa,Alemania,100.0,17874.23043095866,83132799.0,2570.2340955136674
2021,Europa,Alemania,178.0,17874.23043095866,83132799.0,2570.2340955136674
2022,Europa,Alemania,422.0,17874.23043095866,83132799.0,2570.2340955136674
2023,Europa,Alemania,357.0,17874.23043095866,83132799.0,2570.2340955136674
2019,Europa,Austria,31.0,18972.73526824978,8877067.0,2695.5112245277865
2021,Europa,Austria,41.0,18972.73526824978,8877067.0,2695.5112245277865
2019,Europa,Bélgica,38.0,17027.26473175022,11484055.0,1991.2915438795364
2020,Europa,Bélgica,33.0,17027.26473175022,11484055.0,1991.2915438795364
2022,Europa,Bélgica,72.0,17027.26473175022,11484055.0,1991.2915438795364
